Model,Mean_NDCG,Std_NDCG,CV,Range,Eta_Squared,Sensitivity
popularity,0.13778567650507403,0.012854005978829467,0.09328985642681162,0.028445194822479092,6.0,HIGH
cf,0.022627515798570697,0.012848297205332659,0.5678174007128189,0.0350855812409056,6.0,HIGH
cb,0.04420507599422185,0.00963454858661277,0.217951182526462,0.024496579427892635,6.0,HIGH
hybrid,0.02066264560034659,0.010127108779237661,0.490116753445541,0.02959794689929902,6.0,HIGH
hybrid_no_context,0.07615809129958183,0.020899936945041327,0.27442831862510303,0.06454608178999205,6.0,HIGH
hybrid_mmr_lambda_0.0,0.019307095476197574,0.007380535784113509,0.3822706420658911,0.02112954024703817,6.0,HIGH
hybrid_mmr_lambda_0.3,0.021986137023147848,0.011282747615719643,0.5131755343760813,0.03646004062385437,6.0,HIGH
hybrid_mmr_lambda_0.5,0.020618572398283106,0.013368792378431756,0.6483859367268786,0.0327890293221975,6.0,HIGH
hybrid_mmr_lambda_0.7,0.02075165172209568,0.008405287595641096,0.40504185923144714,0.025930792054645893,6.0,HIGH
hybrid_mmr_lambda_1.0,0.013543128135647101,0.012329822204389947,0.9104116922542,0.03441755317249722,5.999999999999999,HIGH
hybrid_mab_mmr,0.09054781099800584,0.044429079743959855,0.4906698378930257,0.12832997648846703,6.0,HIGH
