destination_id,name,description,latitude,longitude,address
1,95 Farm villa resto,"95 Farm Villa Resto menawarkan menu andalan seperti Nasi Liwet Ikan Bakar, Nasi Goreng, dan Sate Ayam. Bahan makanan didapatkan dari pasar tradisional dan pasar Inpres Sumedang. Untuk menjaga kualitas, bahan-bahan makanan dapat disimpan maksimal 4 hari di freezer agar tetap segar. Hal ini mencerminkan komitmen mereka terhadap mutu produk yang disajikan kepada pelanggan. Selain menawarkan makanan, 95 Farm Villa Resto menambah pendapatan melalui penyewaan villa, spot foto, dan penjualan pakan hewan karena di dalamnya terdapat beberapa hewan yang pastinya menambah edukasi untuk anak-anak seperti mini zoo di dalam restoran dan villa. Fasilitas yang tersedia meliputi karaoke outdoor, ruang rapat, wedding area, mushola, area parkir luas, dan tempat camping. Semua ini memberikan pengalaman menyeluruh bagi pengunjung. Jadi bukan hanya menawarkan makanan dan minuman serta villa saja, namun juga fasilitas penunjang lainnya bagi konsumen.",-6.8738638574852695,107.89470027900306,"Margalaksana, Kec. Sumedang Sel., Kabupaten Sumedang, Jawa Barat 45311"
2,Agrowisata Sawah Menak,"Agrowisata sawah menak merupakan perkebunan Mangga Gedong Gincu dan Jambu Kristal bernama Sawah Menak, di Dusun Bantargintung Desa Karyamukti Kecamatan Tomo. Agrowisata Sawah Menak memakai konsep memetik dan makan buah Mangga Gedong Gincu di tempat. Selain Mangga Gedong Gincu, ada juga Jambu Kristal di perkebunan tersebut. Tempatnya sangat strategis karena berada di pinggir jalan nasional, mobil bisa langsung masuk, langsung petik, kupas dan makan di tempat, luar biasa sensasinya makan mangga dan jambu di kebunnya langsung",-6.780731624989411,108.11174469943846,"Karyamukti, Kec. Tomo, Kabupaten Sumedang, Jawa Barat 45382"
3,Alam Ciloa,Sebuah destinasi di Tanjungsari yang memadukan penginapan dengan restoran dan area rekreasi. Tempat ini menawarkan suasana santai untuk keluarga dengan fasilitas tambahan seperti taman kelinci dan kolam budidaya ikan.,-6.895161514482117,107.8098516422412,"Jalan Ciloa No.17, Gudang, Kec. Tanjungsari, Kabupaten Sumedang, Jawa Barat 42167"
4,Alam Tree Cibunar,"Merupakan destinasi yang berlokasi di Desa Cibunar, Kecamatan Rancakalong, sebuah daerah pedesaan yang subur dan hijau. Kawasan ini dikenal sebagai pusat seni tradisi Sunda, terutama Tarawangsa dan tradisi syukuran panen Ngalaksa, yang menawarkan pengalaman budaya otentik.",-6.831743424193144,107.82884048647026,"Jl. Cibunar, Cibunar, Kec. Rancakalong, Kabupaten Sumedang, Jawa Barat 45361"
5,Alun-alun Sumedang,"Dahulu, Alun-Alun Sumedang berupa tanah lapang yang ditumbuhi rerumputan dan pepohonan disekelilingnya, namun pada tahun 2020 tempat ini diperINDAH dengan adanya taman, kolam, tempat permainan anak serta fasilitas lainnya, dan pada malam hari dengan dihiasi oleh lampu lampu Alun-Alun Sumedang terlihat semakin CANTIK. Pada bagian tengah tempat ini terdapat bangunan berupa Monumen yang dikenal dengan Monumen Lingga, berupa peninggalan jaman kolonial Belanda yang didirikan pada Tahun 1922. LINGGA menjadi lambang Kabupaten Sumedang. Monumen Lingga berdiri kokoh di tengah Alun-alun Sumedang. Lingga adalah sebuah penghargaan atas pengabdian memimpin rakyat dibangun di jantung pemerintahan Sumedang. Penghargaan ini justru diberikan kepada bupati yang dianggap akan memberontak oleh Belanda. Monumen penghargaan ini dipersembahkan bagi Bupati Pangeran Aria Soeriaatmadja yang wafat di Mekah dan dijuluki Pangeran Mekah. Namanya juga diabadikan menjadi jalan persis di sebelah utara Lingga itu. Monumen ini didirikan tahun 1922 setelah bupati yang hidupnya sangat sederhana ini tak lagi menjadi orang nomor satu. Pangeran Soeriaatmadja menjadi Bupati Sumedang sejak 31 Januari 1883-1919. Monumen Lingga yang diresmikan oleh Gubernur Jenderal Mr D Fock di bagian dindingnya ditulis, Pangabakti Ka Suwarginan Pangeran Soeriaatmadja, Bupati Sumedang 1883-1919, ping 1 Juni 1919. Bagian atas Lingga berbentuk setengah bola dan terbuat dari pelat tembaga, melambangkan setinggi-tingginya puncak prestasi manusia, tidak akan mencapai kesempurnaan yang hakiki, sebab kesempurnaan sesungguhnya hanyalah milik Allah SWT. Sedangkan pintu Lingga sendiri, yang dibangun empat buah pada setiap penjuru mata angin dengan anak tangga bertrap-trap sebagai simbol pendakian ruhani manusia dalam mencapai keridloan Allah dengan terlebih dahulu menguasai empat unsur nafsu yang terdapat pada diri setiap insan, amarah, sawiyah, lawamah dan mutmainah. Dengan penguasaan keempat unsur nafsu itu, maka manusia dengan pengampunan Allah. Atas segala dosanya, diibaratkan seperti bayi yang baru lahir dari rahim ibunya. Lambang Kabupaten Sumedang diciptakan R. MAHAR MARTANEGARA, putera Bupati Bandung, R Adipati Aria Martanagara yang masih penya keturunan Sumedang. Lambang ini diresmikan 13 Mei 1959.

Perisai, melambangkan jiwa kesatria utama, percaya pada diri sendiri.
Sisi Merah, semangat keberanian
Dasar Hijau, lambang kesuburan
Bentuk setengah bola serta bentuk kubus pada ” LINGGA ”, mlambangkan manusia tidak ada yang sempurna.
Sinar Matahari, melambangkan semangat rakyat dalam mencapai kemajuan.
Warna Kuning Emas, berarti keluhuran budi dan kebesaran jiwa.
Sinar yang ke 17, angka sakti, tanggal Proklamasi Kemerdekaan Indonesia.
Delapan bentuk dari pada ” LINGGA ” , lambang bulan Proklamasi Indonesia.
Sembilan belah batu pada ” LINGGA ”, empat buah kaki tembok dan lima buah anak – anak tangga : Lambang Tahu Proklamasi Republik Indonesia (1945).
Tulisan ” INSUN MEDAL ”, melambangkan kristalisasi dari pada jiwa dan kepribadian rakyat Sumedang.",-6.8594802501957135,107.92525385251814,"Alun-Alun, Regol Wetan, Kec. Sumedang Sel., Kabupaten Sumedang, Jawa Barat 45311"
6,Arboretum Unpad,"Sebuah kawasan hijau di dalam kampus Universitas Padjadjaran yang berfungsi sebagai pusat konservasi tumbuhan, penelitian, dan wisata edukasi. Tempat ini dilengkapi dengan berbagai ekosistem buatan seperti danau dan sawah, serta area",-6.931568376933938,107.77419412910038,"Cikeruh, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363"
7,Astana Gede Kabuyutan Cipaku,"Merupakan situs pemakaman kuno yang menjadi tempat peristirahatan Prabu Lembu Agung, salah satu raja dari Kerajaan Sumedanglarang. Lokasi ini banyak dikunjungi oleh para peziarah dari berbagai daerah untuk melakukan ritual doa, menjadikannya destinasi wisata ziarah dan sejarah yang penting.",-6.889741863770543,108.07278325804216,"Cipaku, Kec. Darmaraja, Kabupaten Sumedang, Jawa Barat 45372"
8,BAKSO ABRAG SUMEDANG,"Salah satu kedai bakso terlaris dan paling populer di Sumedang, yang selalu ramai dikunjungi pembeli. Tempat ini menjadi favorit di kalangan warga lokal karena rasanya yang lezat dan harganya yang terjangkau, menjadikannya tujuan kuliner yang wajib dicoba.",-6.858580075730105,107.92588275924034,"Jl. Kebonkol No.11, Regol Wetan, sumedang sekarang, Kabupaten Sumedang, Jawa Barat 45311"
9,Bale MarWind Camp,"Bale MarWind Camp adalah destinasi wisata alam di perbukitan Margawindu, Sumedang, Jawa Barat, yang menawarkan pengalaman healing santai dengan pemandangan eksotis pegunungan. Cocok untuk camping, event gathering, sesi fotografi, dan pembuatan konten, lengkap dengan fasilitas seperti spot photoshoot menggunakan jeep.
",-6.918977717473824,1.07961162966489e+16,"Perkebunan Margawindu, Citengah Cisoka, Citengah, Kec. Sumedang Sel., Kabupaten Sumedang, Jawa Barat 45311"
10,Balong Geulis,"Balong Geulis merupakan kawasan wisata yang ada di dataran tinggi Kecamatan Cibugel. Di mana kawasan ini terletak di ketinggian 1.174 mdpl. Hal ini membuat tempat tersebut memiliki udara yang lebih sejuk dan view alam yang cantik.Nama Balong Geulis sendiri memiliki makna “kolam cantik”, nama tersebut tentunya sesuai dengan kolam airnya yang jernih dan background pemandangannya yang cantik. Dikelilingi rimbunnya hutan pinus Gunung Kareumbi dan hamparan Kebun Teh Cibubut.Setidaknya ada dua jenis kolam renang yang bisa dijamah di sini, yakni kolam renang utama dengan air jernih dan dikelilingi pemandangan alam yang memukau, perpaduan lautan awan dan pegunungan yang cantik. Lalu, ada kolam anak yang dilengkapi wahana air seperti perosotan warna-warni yang menjadikan kegiatan berenang lebih seru. Fakta menariknya air kedua kolam ini berasal dari sumber mata air asli pegunungan, sehingga terasa dingin dan menyegarkan. Sangat cocok untuk berenang di siang bolong.",-6.9492963319721,107.99300076066768,"Jayamekar, Kec. Cibugel, Kabupaten Sumedang, Jawa Barat 45375"
