Model,Head_Coverage,Torso_Coverage,Tail_Coverage,Head_Tail_Ratio,Gini_Coefficient,Total_Unique_Items
popularity,1.0,1.0,1.0,1.0,0.5578364158163266,224
cf,1.0,1.0,1.0,1.0,0.5578364158163266,224
cb,1.0,1.0,1.0,1.0,0.5578364158163266,224
hybrid,1.0,1.0,1.0,1.0,0.5578364158163266,224
hybrid_mmr_lambda_0.0,1.0,1.0,1.0,1.0,0.5578364158163266,224
hybrid_mmr_lambda_0.3,1.0,1.0,1.0,1.0,0.5578364158163266,224
hybrid_mmr_lambda_0.5,1.0,1.0,1.0,1.0,0.5578364158163266,224
hybrid_mmr_lambda_0.7,1.0,1.0,1.0,1.0,0.5578364158163266,224
hybrid_mmr_lambda_1.0,1.0,1.0,1.0,1.0,0.5578364158163266,224
hybrid_mab_mmr,1.0,1.0,1.0,1.0,0.5578364158163266,224
