Model,Head_Coverage,Torso_Coverage,Tail_Coverage,Head_Tail_Ratio,Aggregate_Diversity,EPC,Gini_Coefficient
popularity,0.1590909090909091,0.04411764705882353,0.0,999.0,0.044642857142857144,0.5980337078651685,0.33994113573407203
cf,0.8863636363636364,0.8382352941176471,0.44642857142857145,1.9854545454545454,0.6517857142857143,0.8802062490380176,0.6419587671399114
cb,0.7272727272727273,0.5441176470588235,0.13392857142857142,5.430303030303031,0.3794642857142857,0.8408724388631856,0.5731847749369389
hybrid,0.9318181818181818,0.8382352941176471,0.3482142857142857,2.675990675990676,0.6116071428571429,0.8682522758960058,0.6228761464368996
hybrid_mmr_lambda_0.0,0.9318181818181818,0.8382352941176471,0.33035714285714285,2.8206388206388207,0.6026785714285714,0.8665043695380774,0.6191830944509165
hybrid_mmr_lambda_0.3,0.9318181818181818,0.8382352941176471,0.33035714285714285,2.8206388206388207,0.6026785714285714,0.8665043695380774,0.6191830944509165
hybrid_mmr_lambda_0.5,0.9318181818181818,0.8382352941176471,0.33035714285714285,2.8206388206388207,0.6026785714285714,0.8665043695380774,0.6191830944509165
hybrid_mmr_lambda_0.7,0.9545454545454546,0.8235294117647058,0.3482142857142857,2.7412587412587417,0.6116071428571429,0.8677560895595834,0.6216388041245442
hybrid_mmr_lambda_1.0,0.9318181818181818,0.8382352941176471,0.3482142857142857,2.675990675990676,0.6116071428571429,0.8682522758960058,0.6228761464368996
hybrid_mab_mmr,0.9545454545454546,0.8235294117647058,0.3482142857142857,2.7412587412587417,0.6116071428571429,0.8674608381858444,0.6216388041245442
