model,head_coverage,torso_coverage,tail_coverage,head_freq,torso_freq,tail_freq,gini_coefficient,arp,total_unique_items
POPULARITY,0.2702702702702703,0.0,0.0,1.0,0.0,0.0,0.0,71.9,10
CF,0.8648648648648649,0.8407079646017699,0.5,0.1432330827067669,0.7114661654135338,0.14530075187969924,0.718984962406015,13.574812030075188,146
CB,0.972972972972973,0.3893805309734513,0.02631578947368421,0.8345864661654135,0.16353383458646617,0.00037593984962406017,0.6454223794781071,45.79154135338346,85
HYBRID,1.0,0.7610619469026548,0.3157894736842105,0.49022556390977445,0.41560150375939847,0.093796992481203,0.6487102793480048,32.39624060150376,137
HYBRID_MMR_LAMBDA_0.0,1.0,0.7522123893805309,0.3157894736842105,0.4368421052631579,0.4699248120300752,0.09304511278195489,0.6270788081314398,29.399624060150376,135
HYBRID_MMR_LAMBDA_0.3,1.0,0.7522123893805309,0.3157894736842105,0.4368421052631579,0.4699248120300752,0.09304511278195489,0.6270788081314398,29.399624060150376,135
HYBRID_MMR_LAMBDA_0.5,1.0,0.7522123893805309,0.3157894736842105,0.4368421052631579,0.4699248120300752,0.09304511278195489,0.6270788081314398,29.399624060150376,135
HYBRID_MMR_LAMBDA_0.7,1.0,0.7699115044247787,0.34210526315789475,0.4567669172932331,0.4469924812030075,0.0962406015037594,0.6318012183744031,30.51015037593985,137
HYBRID_MMR_LAMBDA_1.0,1.0,0.7610619469026548,0.3157894736842105,0.49022556390977445,0.41560150375939847,0.093796992481203,0.6487102793480048,32.39624060150376,137
HYBRID_MAB_MMR,1.0,0.7610619469026548,0.34210526315789475,0.45300751879699247,0.45281954887218046,0.09398496240601503,0.6262279787058886,30.298684210526314,137
