Model,NDCG@10,Diversity,Is_Pareto_Optimal,Dominated_By
popularity,0.1496906319498137,0.7999999999999999,True,
cf,0.02700255027187627,0.8088137009189641,True,
cb,0.10248262260475224,0.14189640768588138,False,popularity
hybrid,0.07632522020192664,0.31670843776106933,False,popularity
hybrid_mmr_lambda_0.0,0.07233506205853138,0.6541771094402674,False,popularity
hybrid_mmr_lambda_0.3,0.07233506205853138,0.6541771094402674,False,popularity
hybrid_mmr_lambda_0.5,0.07233506205853138,0.6541771094402674,False,popularity
hybrid_mmr_lambda_0.7,0.07514314896616765,0.5222222222222221,False,popularity
hybrid_mmr_lambda_1.0,0.07632522020192664,0.31670843776106933,False,popularity
hybrid_mab_mmr,0.07381125675013978,0.5535087719298246,False,popularity
