username,rating_count,percentage
skay dankel,33,0.08527792852159082
Acep Aziz,26,0.06718867095640489
Kang Ajae.Explore,15,0.03876269478254128
Ahmad Syaripudin,14,0.03617851513037186
AMET ARIEF GUNAWAN,12,0.031010155826033024
Fajar Fadilah v11,12,0.031010155826033024
Kelik Raidyanto,11,0.028425976173863606
Rb.Yayang Permanaguntina s,11,0.028425976173863606
kos nandar,11,0.028425976173863606
Bregian Aqdam,10,0.025841796521694188
A Julia (Wawa ajul),10,0.025841796521694188
Ngador with Esa Teguhtri,10,0.025841796521694188
arman fauzi,10,0.025841796521694188
Anih Sumarnih,9,0.02325761686952477
Kegga Keggyan,9,0.02325761686952477
Rahmat FSR,9,0.02325761686952477
B.C. Andriyono,9,0.02325761686952477
D M,9,0.02325761686952477
Asep Suryono,8,0.020673437217355352
Nurdiansah Emawan,8,0.020673437217355352
Santi Mayasari,8,0.020673437217355352
usep triana,8,0.020673437217355352
Satrio Pratama,8,0.020673437217355352
Andi Yulistiyo,7,0.01808925756518593
LITTOGRAF,7,0.01808925756518593
Uj Novandi,7,0.01808925756518593
Abah Damdam,7,0.01808925756518593
Ari Oleg,7,0.01808925756518593
vega chandra alam,7,0.01808925756518593
Iden Rs,7,0.01808925756518593
terserah_ gw,7,0.01808925756518593
Asep Kurniawan,7,0.01808925756518593
Yan Jarambah,7,0.01808925756518593
Asep Endang,7,0.01808925756518593
Putra Aquarius,7,0.01808925756518593
Ridwan Fauzi,7,0.01808925756518593
Aldiansyah Ilhamudin Hibatullah,7,0.01808925756518593
FReddy _Surbakti,7,0.01808925756518593
OneDayTrip,7,0.01808925756518593
Ipan Rizki,7,0.01808925756518593
Vina Rostiana,7,0.01808925756518593
Tarya Sukarya,7,0.01808925756518593
Ganda Ruhimat,6,0.015505077913016512
tony radyana,6,0.015505077913016512
Anggie Yuslianto,6,0.015505077913016512
Amad asli,6,0.015505077913016512
BG Trans 1169,6,0.015505077913016512
Muhammad Arif,6,0.015505077913016512
Niknik Ratu Nita,6,0.015505077913016512
Hardi Muhardi,6,0.015505077913016512
Black Box,6,0.015505077913016512
FARID MUTAQIEN,6,0.015505077913016512
Agus Suhendar,6,0.015505077913016512
asep suryadi,6,0.015505077913016512
Erni Fitriani,6,0.015505077913016512
Aero Model,6,0.015505077913016512
Candriyani Utami Dewi,6,0.015505077913016512
vhimor daini herniawan,6,0.015505077913016512
Aceng Gungun,6,0.015505077913016512
i “man” makky,6,0.015505077913016512
Amalia nur sa'adah,6,0.015505077913016512
moch iik toriq,6,0.015505077913016512
Rian Andriansyah A.P (RAAParts),6,0.015505077913016512
Yusup Yuda Nugraha (Yuda),6,0.015505077913016512
sy asep,6,0.015505077913016512
Willy Makar,6,0.015505077913016512
Liana Kristanti Kusnawi,6,0.015505077913016512
Verry Van Java VVJ,6,0.015505077913016512
Ima Rahma,5,0.012920898260847094
Dadan AR Rochman,5,0.012920898260847094
Thoni syah,5,0.012920898260847094
Paninggaran Channel#,5,0.012920898260847094
agus zn,5,0.012920898260847094
Tedja MM,5,0.012920898260847094
Maman Kusmana,5,0.012920898260847094
Elga Hidayat,5,0.012920898260847094
Ferry Firmansyah,5,0.012920898260847094
Arif Hidayat,5,0.012920898260847094
Tata Arnes,5,0.012920898260847094
Ato Y,5,0.012920898260847094
Hilman Maulana,5,0.012920898260847094
Tata 17,5,0.012920898260847094
Lina Marlina,5,0.012920898260847094
Rosidin Kasep,5,0.012920898260847094
Jajat Sudrajat,5,0.012920898260847094
Izma Koejim,5,0.012920898260847094
Ahmad Kamaludin,5,0.012920898260847094
Kakang Agun,5,0.012920898260847094
Dede Mamad Ruhyatman,5,0.012920898260847094
Andri Mulia Subagdja,5,0.012920898260847094
Samuel Andi Kristyan,5,0.012920898260847094
herry shipuden,5,0.012920898260847094
Yourman Nugraha,5,0.012920898260847094
Giat Sugiawan,5,0.012920898260847094
Riyad Furqon,5,0.012920898260847094
ajjie sundamillan,5,0.012920898260847094
NOER DIENSJAH (Annoer),5,0.012920898260847094
Yayat Ruhayat,5,0.012920898260847094
Dadan Rusmana,5,0.012920898260847094
Sudiyanto ST,5,0.012920898260847094
Syahrial (Bang Syeh),5,0.012920898260847094
ceumomoy,5,0.012920898260847094
Wulan Yullia,5,0.012920898260847094
Sinsin Budiman,5,0.012920898260847094
Benny Setiawan,5,0.012920898260847094
Deni Safari,5,0.012920898260847094
Warman Wahyu Satrio,4,0.010336718608677676
Yoppie Jamiat,4,0.010336718608677676
Budi Hermanto,4,0.010336718608677676
yayan rohtiana,4,0.010336718608677676
luthfi fahrianto,4,0.010336718608677676
Myshop martin,4,0.010336718608677676
Yuda,4,0.010336718608677676
Young Net,4,0.010336718608677676
rini triastuti,4,0.010336718608677676
Juju Juhari,4,0.010336718608677676
KUTAI SI TOGAR (Abah Togar),4,0.010336718608677676
Yunita Puspitasari,4,0.010336718608677676
Yudha Christiady Pratama,4,0.010336718608677676
Serba Serbi Cerita (d),4,0.010336718608677676
Kaisan Maulana,4,0.010336718608677676
Tita Syah,4,0.010336718608677676
Wiwit Setyoko,4,0.010336718608677676
Yudi Permadi,4,0.010336718608677676
ade ferdian,4,0.010336718608677676
Aditya Haris Pratama,4,0.010336718608677676
Irna Megani,4,0.010336718608677676
Witha Roswila,4,0.010336718608677676
Aripin Jaenal,4,0.010336718608677676
Kusnaedi Tjetjen Rachim,4,0.010336718608677676
Hendra Suhendar,4,0.010336718608677676
Ahmad Vikar,4,0.010336718608677676
Lukman Nurhakim,4,0.010336718608677676
Axel Farshad,4,0.010336718608677676
Ariefjoe800,4,0.010336718608677676
Sang Coverboy,4,0.010336718608677676
momo Bojongterong,4,0.010336718608677676
Tiek Azhat,4,0.010336718608677676
Shadow Goweser,4,0.010336718608677676
Mang Aji,4,0.010336718608677676
Andri Wildani,4,0.010336718608677676
Actual Grafika,4,0.010336718608677676
Lenny Herlina,4,0.010336718608677676
TEDDY MAULANA H.S,4,0.010336718608677676
Ahmad Saefulloh,4,0.010336718608677676
Naru Lita,4,0.010336718608677676
ucu lenggana,4,0.010336718608677676
HIJRATUL FATH,4,0.010336718608677676
Ani Kholillah,4,0.010336718608677676
Dimas Rifki Arya Respati,4,0.010336718608677676
deni kurnia,4,0.010336718608677676
Nti Nti,4,0.010336718608677676
LisH Dadang Furniture,4,0.010336718608677676
Syaripah,4,0.010336718608677676
R Badhen Syambas,4,0.010336718608677676
Kang Yadoet,4,0.010336718608677676
Yani Dianawati,4,0.010336718608677676
Anggi Darmawan,4,0.010336718608677676
Ayshie Lee,4,0.010336718608677676
Ogie Kazuya,4,0.010336718608677676
Wiwik Haryanti,4,0.010336718608677676
Chandra Amin Fauzi,4,0.010336718608677676
Budi Hermawan,4,0.010336718608677676
Aki Saepudin,4,0.010336718608677676
Andri Nopita,4,0.010336718608677676
Ita Rosita,4,0.010336718608677676
budiawan budi,4,0.010336718608677676
Dwi Destiana,4,0.010336718608677676
derick agung,4,0.010336718608677676
Cheppy Yosviari,4,0.010336718608677676
Agam Abdillah,4,0.010336718608677676
desi setiawati,4,0.010336718608677676
Fera Anggyta,4,0.010336718608677676
Abdie,4,0.010336718608677676
yudi kusmayadi,4,0.010336718608677676
Mulyana Goeser,4,0.010336718608677676
raksa samudra,4,0.010336718608677676
Agus Rukmanto,4,0.010336718608677676
Tengkuseha Inggit,4,0.010336718608677676
Yono Sugiono,4,0.010336718608677676
Asep Hasanudin,4,0.010336718608677676
faisal fachmy,4,0.010336718608677676
Solihin Otong,4,0.010336718608677676
Santi Sarah,3,0.007752538956508256
Dekki Susyarman,3,0.007752538956508256
Ferry Malik,3,0.007752538956508256
Dean Apriliani,3,0.007752538956508256
Dikki Hermawan,3,0.007752538956508256
Elok Renissa Agnia,3,0.007752538956508256
Lilis Amaliah Rosdiana,3,0.007752538956508256
sumartono tono,3,0.007752538956508256
puput isnaeniha,3,0.007752538956508256
Pareng Sutanto,3,0.007752538956508256
Bunna R3i,3,0.007752538956508256
Haze,3,0.007752538956508256
jalbis channel,3,0.007752538956508256
Anto Derahman,3,0.007752538956508256
Egi Algifari,3,0.007752538956508256
Cica Nuraini,3,0.007752538956508256
Ginn Diesel,3,0.007752538956508256
Ronny Abubakar,3,0.007752538956508256
Febrieannasya,3,0.007752538956508256
Johari Ahmad,3,0.007752538956508256
Iwa Setiawan,3,0.007752538956508256
Havis Guslizardi,3,0.007752538956508256
Asep Amri,3,0.007752538956508256
Febry Siti Nurhayati,3,0.007752538956508256
Muhammad Unin Zaenal Muttaqin,3,0.007752538956508256
Erwin Sudrajat,3,0.007752538956508256
Deni Ruswandi,3,0.007752538956508256
Faiziy Family,3,0.007752538956508256
Rosidin Agus,3,0.007752538956508256
Taco de Vries,3,0.007752538956508256
Oktaviani Nurizkania D,3,0.007752538956508256
Kang Jana Tèa,3,0.007752538956508256
aep saepudin (Kang Aep),3,0.007752538956508256
Eneng Rohayati,3,0.007752538956508256
Umi Kholifah,3,0.007752538956508256
Chaeruddin Saleh,3,0.007752538956508256
Ari Wates,3,0.007752538956508256
Firmansyah Murad,3,0.007752538956508256
indra triadhi,3,0.007752538956508256
Hariska Purnama,3,0.007752538956508256
Lely Sa,3,0.007752538956508256
Nurlatifah Nurlatifah,3,0.007752538956508256
Andri Sgrd,3,0.007752538956508256
Ade rancung,3,0.007752538956508256
Lukman Adinata,3,0.007752538956508256
goens g76,3,0.007752538956508256
Arief Petot,3,0.007752538956508256
Bredhy,3,0.007752538956508256
Tahya Sunarya,3,0.007752538956508256
Dewi Sulastrini,3,0.007752538956508256
Fuzi fauziah,3,0.007752538956508256
syakila 58,3,0.007752538956508256
wanda yana,3,0.007752538956508256
Din Bachrudim,3,0.007752538956508256
Andri Gunawan,3,0.007752538956508256
Diana fitri lathifah,3,0.007752538956508256
rhieza wardhany,3,0.007752538956508256
Mochamad Septoni Fauzi,3,0.007752538956508256
Cj Wck,3,0.007752538956508256
Muhammad Ridwan,3,0.007752538956508256
Cipta saputra,3,0.007752538956508256
Deni Taryana,3,0.007752538956508256
tiwuk retnowati,3,0.007752538956508256
sundahadi suharno,3,0.007752538956508256
FirmanSyah Channel,3,0.007752538956508256
Uday Sudaya,3,0.007752538956508256
